trace_id,experiment_id,request_id,model,dataset,subset,predictor_checkpoint,threshold,sliding_window,layers,kv_heads,sequence_tokens,prompt_tokens,context_tokens_scored,question_tokens_not_scored,generated_tokens_retokenized,logical_total_kv,logical_removed_kv,logical_removed_fraction,logical_compression_factor,cold_removed_fraction,predicted_removed_fraction,protected_recent_predicted_drops,protected_recent_final_drops,predictor_only,score_margin_abs_p50,score_margin_abs_p90,near_threshold_0_125_fraction,near_threshold_0_25_fraction,near_threshold_0_50_fraction,layer_retention_min,layer_retention_max,layer_load_cv,global_head_retention_min,global_head_retention_max,global_head_load_cv,all_cold_dropped_layer_heads,all_cold_kept_layer_heads,head_drop_jaccard_mean,head_keep_jaccard_mean,decoding_trace_available,context_prefill_tokens,prompt_chunk_count,prompt_chunk_tokens,generation_steps,final_cache_tokens,generation_newly_dropped_mean,generation_newly_dropped_p90,generation_newly_dropped_max,generation_newly_admitted_mean,generation_newly_admitted_p90,generation_newly_admitted_max
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,Qwen/Qwen3-8B,builtin,retrieval,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,905,905,905,22,0,260640,187337,0.7187576734192757,3.555652565379316,0.837163055913056,0.84652394106814,33301,0,True,2.28125,4.75,0.02106353591160221,0.0445902394106814,0.09434468999386127,0.15497237569060773,0.5031767955801105,0.30209237469152994,0.20847145488029467,0.35267034990791896,0.1667024828634731,12,2,0.7370692257546495,0.1806837689518587,False,905,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,Qwen/Qwen3-8B,builtin,summarization,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,891,891,891,35,0,256608,186448,0.7265868562164859,3.6574686431014825,0.8484782292121742,0.8565126574385834,33340,0,True,2.34375,4.75,0.02036569397680509,0.04271885521885522,0.09026218979922683,0.15628507295173963,0.4793771043771044,0.2958280281795566,0.20432722284574137,0.3444319740616037,0.16388048894416643,12,2,0.7535092810219973,0.18513146087796742,False,891,0,0,0,nan,nan,nan,nan,nan,nan,nan
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,Qwen/Qwen3-8B,builtin,reasoning,nvidia/KVzap-mlp-Qwen3-8B,-4.0,128,36,8,2031,2031,2031,65,0,584928,461844,0.789574101427868,4.752266744662182,0.8426826064109301,0.8451467531046556,32506,0,True,2.15625,4.5,0.023090021335959297,0.04801103725586739,0.1005149351715083,0.0827178729689808,0.44085425898572134,0.4175725530069498,0.13872476612506154,0.27546638218720937,0.21248434175485184,10,1,0.7462663442462951,0.1512108714789715,False,2031,0,0,0,nan,nan,nan,nan,nan,nan,nan
