trace_id,experiment_id,request_id,layer,kv_head,sequence_tokens,kept_tokens,removed_tokens,retention_ratio,cold_retention_ratio,score_mean,score_std,margin_abs_mean,near_threshold_0_10_fraction,near_threshold_0_25_fraction
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,4,905,132,773,0.14585635359116023,0.005148005148005148,-6.079471588134766,0.6800935864448547,2.0826830863952637,0.0077348066298342545,0.012154696132596685
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,5,905,207,698,0.2287292817679558,0.10167310167310167,-5.133425235748291,0.7998114228248596,1.2032458782196045,0.045303867403314914,0.11049723756906077
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,6,905,139,766,0.15359116022099448,0.014157014157014158,-5.6848931312561035,0.5128195285797119,1.6950103044509888,0.0022099447513812156,0.009944751381215469
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,2,7,905,887,18,0.980110497237569,0.9768339768339769,-1.585569143295288,0.7184222936630249,2.448547124862671,0.0,0.0011049723756906078
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,0,905,131,774,0.14475138121546963,0.003861003861003861,-6.63066291809082,0.7317471504211426,2.6357734203338623,0.0022099447513812156,0.0022099447513812156
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,1,905,664,241,0.7337016574585635,0.6898326898326899,-3.544997453689575,1.0086573362350464,0.8389114141464233,0.0861878453038674,0.19558011049723756
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,2,905,174,731,0.19226519337016573,0.059202059202059204,-5.708813667297363,0.934176504611969,1.768396019935608,0.022099447513812154,0.049723756906077346
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,3,905,654,251,0.7226519337016575,0.676962676962677,-3.8209643363952637,1.4370052814483643,1.1565909385681152,0.05303867403314917,0.14475138121546963
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,4,905,157,748,0.1734806629834254,0.03732303732303732,-5.981198310852051,1.1147651672363281,2.015970230102539,0.023204419889502764,0.03756906077348066
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,5,905,139,766,0.15359116022099448,0.014157014157014158,-8.559832572937012,1.7444257736206055,4.5785651206970215,0.0055248618784530384,0.008839779005524863
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,6,905,128,777,0.1414364640883978,0.0,-6.162879943847656,0.6441332697868347,2.1628799438476562,0.0,0.004419889502762431
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,3,7,905,131,774,0.14475138121546963,0.003861003861003861,-6.022375583648682,0.6721963286399841,2.0243093967437744,0.0022099447513812156,0.0077348066298342545
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,0,905,146,759,0.16132596685082873,0.023166023166023165,-6.73325252532959,1.2538877725601196,2.7557666301727295,0.0055248618784530384,0.015469613259668509
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,1,905,740,165,0.8176795580110497,0.7876447876447876,-3.1680734157562256,0.9569334387779236,1.0467056035995483,0.045303867403314914,0.1005524861878453
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,2,905,134,771,0.14806629834254142,0.007722007722007722,-6.025224685668945,0.7447249889373779,2.029057264328003,0.004419889502762431,0.015469613259668509
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,3,905,132,773,0.14585635359116023,0.005148005148005148,-6.387103080749512,0.6204109191894531,2.3893473148345947,0.0022099447513812156,0.0033149171270718232
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,4,905,130,775,0.143646408839779,0.002574002574002574,-6.274602890014648,0.7624295949935913,2.275604248046875,0.0011049723756906078,0.0033149171270718232
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,5,905,130,775,0.143646408839779,0.002574002574002574,-8.177279472351074,1.2084457874298096,4.178522109985352,0.0011049723756906078,0.0011049723756906078
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,6,905,132,773,0.14585635359116023,0.005148005148005148,-6.377762317657471,0.6685487627983093,2.3812155723571777,0.0022099447513812156,0.0033149171270718232
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,7,905,189,716,0.20883977900552486,0.07850707850707851,-5.638311386108398,0.9591359496116638,1.7272272109985352,0.01878453038674033,0.04640883977900553
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,5,0,905,178,727,0.19668508287292819,0.06435006435006435,-5.990590572357178,1.10054349899292,2.0658321380615234,0.02430939226519337,0.051933701657458566
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,5,1,905,186,719,0.20552486187845304,0.07464607464607464,-5.2601799964904785,0.9200021028518677,1.3513531684875488,0.03425414364640884,0.08066298342541436
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,5,2,905,132,773,0.14585635359116023,0.005148005148005148,-5.820770263671875,0.7880815863609314,1.8252243995666504,0.0077348066298342545,0.02430939226519337
