trace_id,experiment_id,request_id,state,run_count,mean,p50,p90,p95,p99,max
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,drop,12639,14.822137827359759,2.0,19.0,50.0,316.0,777
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,keep,12639,2.8830603687000553,1.0,5.0,9.0,23.0,777
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,drop,11771,15.839605810891173,2.0,21.0,52.0,489.0,763
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,keep,11774,2.8279259385085784,1.0,5.0,9.0,22.0,763
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,drop,32012,14.42721479445208,2.0,18.0,37.0,168.0,1903
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,keep,32017,2.6929443733016836,1.0,5.0,8.0,21.0,1903
