trace_id,experiment_id,request_id,block_size,block_count,all_drop_block_fraction,all_keep_block_fraction,mixed_block_fraction,logical_cold_retention,physical_cold_retention_exact_span,physical_cold_retention_padded,internal_fragmentation_exact_span,internal_fragmentation_padded,physical_compression_factor_exact_span,physical_compression_factor_padded
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,4,56160,0.7281517094017094,0.06908831908831908,0.20275997150997152,0.16283694408694407,0.27246889746889746,0.2728978978978979,0.40236502000918456,0.4033045130018995,2.664050042928983,2.661438549197402
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,8,28224,0.6701034580498866,0.04432397959183673,0.28557256235827666,0.16283694408694407,0.33186758186758186,0.3328685828685829,0.5093315738446623,0.5108071098700462,2.3454034986682024,2.3406853940656656
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,16,14112,0.6007653061224489,0.024872448979591837,0.37436224489795916,0.16283694408694407,0.40057915057915056,0.40283140283140284,0.5934962070504239,0.5957689918352858,2.060330108138873,2.052154195011338
kvzap-predictor-trace-20260817T085505Z::builtin_retrieval_trace,kvzap-predictor-trace-20260817T085505Z,builtin_retrieval_trace,32,7200,0.5265277777777778,0.01597222222222222,0.4575,0.16283694408694407,0.4800872300872301,0.4874874874874875,0.6608180058083253,0.6659669257846876,1.806287076564839,1.785792589344442
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,4,55008,0.743782722513089,0.06240910413030832,0.19380817335660266,0.15152177078782583,0.2563118901995049,0.25655307994757537,0.4088383076185573,0.4093940683978998,2.753688819255905,2.7521235521235523
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,8,27648,0.6878616898148148,0.038628472222222224,0.27350983796296297,0.15152177078782583,0.31297782874617736,0.31418377748652976,0.5158705925118139,0.517728852838934,2.4291028881379035,2.4230246260764465
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,16,13824,0.6201533564814815,0.02199074074074074,0.3578559027777778,0.15152177078782583,0.38058377020532985,0.3823358089413135,0.6018701199316043,0.6036945343744049,2.1296153367359643,2.1228325612177366
kvzap-predictor-trace-20260817T122012Z::builtin_summarization_trace,kvzap-predictor-trace-20260817T122012Z,builtin_summarization_trace,32,6912,0.5423900462962963,0.014467592592592593,0.4431423611111111,0.15152177078782583,0.45794651958642785,0.46060870831513034,0.6691278035595393,0.6710401517546632,1.8663078657405723,1.8584009269988413
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,4,137088,0.7170357726423903,0.062025852007469656,0.22093837535014005,0.15731739358906988,0.28301621708413616,0.28311292111870145,0.4441400029656182,0.44432987033074683,3.0468967313452273,3.0460557835315685
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,8,68544,0.6442285247432307,0.038617530345471524,0.31715394491129784,0.15731739358906988,0.35581245985870263,0.35595842821276347,0.5578642927469643,0.5580455999343886,2.5226331769252,2.5217631234048423
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,16,34272,0.569765406162465,0.024538982259570494,0.4056956115779645,0.15731739358906988,0.43029646172709757,0.430460676125416,0.6343976593308739,0.6345371312309257,2.1449976897181458,2.144289987682562
kvzap-predictor-trace-20260817T122049Z::builtin_reasoning_trace,kvzap-predictor-trace-20260817T122049Z,builtin_reasoning_trace,32,17280,0.496875,0.016377314814814813,0.4867476851851852,0.15731739358906988,0.5048279033105623,0.5076195480819758,0.6883742111768916,0.6900879917184265,1.8655491130374877,1.8564899451553931
